sampleid,oils,ketones,acetate,phenols,quantity0,soluble_mixture,length,maceration time,quantity1,ingredient1,ingredient0,soluble_components,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,quantity2,quantity3,quantity4,quantity5,quantity6,quantity7,quantity8,quantity9,quantity10,quantity11,quantity12,quantity13,quantity14,quantity15,quantity16,quantity17,PROPERTY:Diffusion Rate (10^6),PROPERTY: Staining Factor,PROPERTY: color wavelength,PROPERTY: color,PROPERTY: Survey Results
PER13-74,5,3,0,1,94.98,5.02,9,41,4.12,WATER,ETHYL ALCOHOL,0.9,THUJA OCCIDENTALIS STEM OIL,ORMENIS MULTICAULIS FLOWER OIL,STYRAX TONKINENSIS RESIN OIL,BAROSMA BETULINA LEAF OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,BUTYLOXEPANONE,ISOPROPYL-METHYLBICYCLOHEXANONE,3-BUTYL-4-METHYLPHENYL METHYL KETONE,ISOBUTYL LINALOOL,,,,,,,,0.114035088,0.038596491,0.152631579,0.156140351,0.168421053,0.143859649,0.101754386,0.022807018,0.001754386,,,,,,,,1554.25,0.35,729.75,red,34
PER54-133,3,0,1,2,94.96,5.04,6,34,4.14,WATER,ETHYL ALCOHOL,0.9,CITRUS PARADISI M. PEEL OIL EXPRESSED,EUCALYPTUS SMITHII LEAF OIL,LEVISTICUM OFFICINALE LEAF OIL,OCTYL ACETATE,2-METHYLBUTANE-2-THIOL,CYCLOHEXYLPROPANOL,,,,,,,,,,,0.125409836,0.221311475,0.140163934,0.18442623,0.090983607,0.137704918,,,,,,,,,,,1627.225,0.26,716.2625,red,25
PER93-527,5,0,0,1,94.93,5.07,6,34,4.16,WATER,ETHYL ALCOHOL,0.91,THUJOPSIS DOLABRATA LEAF OIL,LAVANDULA SPICA HERB OIL,FOENICULUM VULGARE VULGARE FRUIT OIL,COMMIPHORA ABYSSINICA GUM OIL,BAROSMA BETULINA LEAF OIL,4-METHYLPENTAN-2-OL,,,,,,,,,,,0.101865672,0.129029851,0.078097015,0.196940299,0.217313433,0.186753731,,,,,,,,,,,1698.85125,0.23,703.449375,red,54
PER87-140,2,3,0,1,94.93,5.07,6,74,4.16,WATER,ETHYL ALCOHOL,0.91,EUCALYPTUS SMITHII LEAF OIL,CYMBOPOGON NARDUS HERB OIL,4-METHYL-4-PHENYL-2-PENTANONE,TRANS-5-METHYL-2-HEPTEN-4-ONE,"3,4-DIHYDRO-7-METHYLNAPHTHALENONE",TRIMETHYLTRICYCLODODECANOL,,,,,,,,,,,0.260792683,0.138719512,0.152591463,0.036067073,0.172012195,0.149817073,,,,,,,,,,,1769.196188,0.25,695.2,red,36
PER82-528,4,3,2,3,94.85,5.15,12,26,4.21,WATER,ETHYL ALCOHOL,0.94,FOENICULUM VULGARE FRUIT OIL ,TRIGONELLA FOENUM-GRAECUM SEED OIL,STYRAX TONKINENSIS RESIN OIL,BAROSMA BETULINA LEAF OIL,"3,5-DIMETHYLCYCLOHEXYLMETHYL ACETATE",RHODINYL ACETATE,"3,4-DIHYDRO-7-METHYLNAPHTHALENONE",4-METHYL-4-PHENYL-2-PENTANONE,DIMETHYLCYCLOHEXYL METHYL KETONE,"2,3,6-TRIMETHYLPHENOL",TETRAMETHYL-4-METHYLENE-2-HEPTANOL,2-METHYLFURAN-3-THIOL,,,,,0.050712909,0.117726397,0.172061657,0.034412331,0.057957611,0.094181118,0.041657033,0.038034682,0.13583815,0.019922929,0.030789981,0.146705202,,,,,1838.323878,0.42,691.2769063,red,27
PER91-184,5,1,2,2,94.78,5.22,10,25,4.26,WATER,ETHYL ALCOHOL,0.96,PINUS PALUSTRIS TWIG LEAF OIL,CITRUS AURANTIUM LEAF OIL,LEVISTICUM OFFICINALE LEAF OIL,ARNICA MONTANA FLOWER OIL,FOENICULUM VULGARE VULGARE FRUIT OIL,3-HEXENYL ACETATE,METHYL-OCTAHYDRO-DIMETHYLAZULENYLETHYL ACETATE,PENTAMETHYL-CYCLOPENT-1-ENYL METHYL KETONE,2-DODECENOL,AMYL ALCOHOL,,,,,,,0.099779528,0.142110236,0.123968504,0.11792126,0.080125984,0.111874016,0.10280315,0.092220472,0.028724409,0.060472441,,,,,,,2264.89,0.15,683.98,red,48
PER14-414,6,2,0,0,94.78,5.22,8,84,4.26,WATER,ETHYL ALCOHOL,0.96,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,CITRUS AURANTIUM LEAF OIL,ARTEMISIA HERBA-ALBA HERB OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,COMMIPHORA ABYSSINICA GUM OIL,STYRAX BENZOIN RESIN OIL,HEXENYLCYCLOPENTANONE,HEXENYLDIHYDROMETHYLFURANONE,,,,,,,,,0.011002865,0.074269341,0.041260745,0.063266476,0.231060172,0.198051576,0.187048711,0.154040115,,,,,,,,,2334.41,0.26,683.44,red,46
PER26-118,7,1,1,4,94.77,5.23,13,31,4.27,WATER,ETHYL ALCOHOL,0.96,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,VITIS VINIFERA OIL,IRIS PALLIDA ROOT OIL,ANETHUM SOWA SEED OIL,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,JUNIPERUS MEXICANA WOOD OIL,ISOTRIDECYL ACETATE,TRANS-5-OCTENONE,TETRAMETHYL-HEXADECATETRAEN-3-OL,ISOBUTYL LINALOOL,TRIMETHYL-2-CYCLOHEXENOL,TETRAMETHYL-4-METHYLENE-2-HEPTANOL,,,,0.05978022,0.096117216,0.049230769,0.082051282,0.103150183,0.089084249,0.106666667,0.111355311,0.052747253,0.066813187,0.038681319,0.100805861,0.003516484,,,,2344.76,0.42,679.7130609,red,46
PER42-456,7,0,2,2,94.73,5.27,11,79,4.3,WATER,ETHYL ALCOHOL,0.97,RAVENSARA AROMATICA TWIG OIL,EUCALYPTUS SMITHII LEAF OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,TRIGONELLA FOENUM-GRAECUM SEED OIL,SANTALUM SPICATA WOOD OIL,THUJA PLICATA LEAF OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,CIS-3-HEPTENYL ACETATE,ETHYL PHENOXYACETATE,DIMETHYLBENZYL CARBINOL,CARVACROL,,,,,,0.153367556,0.103572895,0.091622177,0.017926078,0.101581109,0.135441478,0.053778234,0.085646817,0.031868583,0.113531828,0.081663244,,,,,,2397.73,0.14,676.07,red,27
PER57-86,2,1,1,4,94.74,5.26,8,27,4.29,WATER,ETHYL ALCOHOL,0.97,LAVANDULA SPICA HERB OIL,COMMIPHORA SCHIMPERI GUM OIL,PROPYL ACETATE,METHYLHEPTENONE ISOMERS,PINACOL,2-O-CRESYLETHANOL,2-METHYLBUTANE-2-THIOL,METHYLOCTENOL,,,,,,,,,0.021846847,0.155112613,0.181328829,0.176959459,0.089572072,0.17259009,0.126711712,0.045878378,,,,,,,,,2402.754,0.53,673.34,red,73
