IDENTIFIER: name,CLASSIFICATION: Component Type,PREPARATION STEP NAME,PROPERTY: Ref No,PROPERTY: CAS No,PROPERTY: EC No,PROPERTY: Description,PROPERTY: Regulations,PROPERTY: Function,PROPERTY: SMILES,PROPERTY: Substantivity,PROPERTY: Odor Strength,PROPERTY: PRICE
DIMETHYLBENZYL CARBINOL,PHENOLS,Procure PHENOLS,39588, 100-86-7, 202-896-0,2-Methyl-1-phenylpropan-2-ol,,PERFUMING,CC(C)(O)Cc1ccccc1,6,1,70.22216748
GUAIACOL,PHENOLS,Procure PHENOLS,40099, 90-05-1, 201-964-7,2-Methoxyphenol; o-Methylcatechol,,PERFUMING,COc1ccccc1O.CC2(O)C=CC=CC2O,280,3,84.92291133
BETA-PINEN-3-OL,PHENOLS,Procure PHENOLS,41355, 5947-36-4, 227-705-8,"6,6-Dimethyl-2-methylenebicyclo[3.1.1]heptan-3-ol",,PERFUMING,CC1(C)C2CC(O)C(=C)C1C2,,2,7.285745961
2-DODECENOL,PHENOLS,Procure PHENOLS,39802, 22104-81-0, 244-786-5,Dodec-2-en-1-ol,,PERFUMING,CC=CC=CC=O,,2,6.085059397
3-ETHYLPHENOL,PHENOLS,Procure PHENOLS,39918, 620-17-7, 210-627-3,3-Ethylphenol,,PERFUMING,CCc1cccc(O)c1,,3,55.19832468
"2-HEXYL-1,3-DIOXANOL",PHENOLS,Procure PHENOLS,40237, 1708-36-7, 216-961-6,"2-Hexyl-1,3-dioxan-5-ol",,PERFUMING,CCCCCCC1OCC(O)CO1,,,41.5701739
GERANIOL,PHENOLS,Procure PHENOLS,33991, 106-24-1, 203-377-1,"2,6-Octadien-1-ol, 3,7-dimethyl-, (2E)-",III/78,"PERFUMING, TONIC",CC(C)=CCCC(/C)=C/CO,44,2,1.182555273
NEROL,PHENOLS,Procure PHENOLS,40874, 106-25-2, 203-378-7,"cis-3,7-Dimethyl-2,6-octadien-1-ol",,PERFUMING,CC(C)=CCC\C(C)=C/CO,44,2,36.68781042
SANTALOL,PHENOLS,Procure PHENOLS,41088, 11031-45-1, 234-262-4,"5-(2,3-Dimethyltricyclo[2.2.1.02,6]hept-3-yl)-2-methylpent-2-en-1-ol",,PERFUMING,CC(CO)=CCCC1(C)C2CC3C(C2)C13C,,3,3.063476364
TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,PHENOLS,Procure PHENOLS,41254, 5989-33-3, 227-814-0,"cis-alpha,alpha,5-Trimethyl-5-vinyltetrahydrofuran-2-methanol",,PERFUMING,CC(C)(O)C1CCC(C)(O1)C=C,,2,12.92013215
ISOPROPYLCYCLOHEXANOL,PHENOLS,Procure PHENOLS,39694, 4621-04-9, 225-035-0,4-Isopropylcyclohexanol,,PERFUMING,CC(C)C1CCC(O)CC1,12,2,46.36347833
"2,6-DIMETHYL-4-HEPTANOL",PHENOLS,Procure PHENOLS,39630, 108-82-7, 203-619-6,"2,6-Dimethylheptan-4-ol",,PERFUMING,CC(C)CC(O)CC(C)C,,1,96.95808784
TETRAMETHYL-4-METHYLENE-2-HEPTANOL,PHENOLS,Procure PHENOLS,41066, 81787-06-6, 401-030-0,"3,5,6,6-Tetramethyl-4-methylene-2-heptanol",,PERFUMING,CC(O)C(C)C(=C)C(C)C(C)(C)C,,2,41.74748726
TETRAMETHYL-HEXADECATETRAEN-3-OL,PHENOLS,Procure PHENOLS,41061, 68931-30-6, ,"3,7,11,15-Tetramethyl-1,6,10,14-Hexadecatetraen-3-ol",,PERFUMING,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)(O)C=C,450,3,48.70118047
METHOXY-METHYLBUTANETHIOL,PHENOLS,Procure PHENOLS,40425, 94087-83-9, 301-977-9,4-Methoxy-2-methylbutane-2-thiol,,PERFUMING,COCCC(C)(C)S,,3,74.76016072
CARVACROL,PHENOLS,Procure PHENOLS,39285, 499-75-2, 207-889-6,2-Methyl-5-(1-methylethyl)phenol; 2-Hydroxy-p-cymene; 5-Isopropyl-o-cresol,,PERFUMING,CC(C)c1ccc(C)c(O)c1.CC(C)c2ccc(C)c(O)c2.CC(C)c3ccc(C)cc3O,272,3,58.10314259
FARNESOL,PHENOLS,Procure PHENOLS,33921, 4602-84-0, 225-004-1,"2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-",III/82,"DEODORANT, PERFUMING",CC(C)=CCCC(C)=CCCC(C)=CCO,400,1,86.42541507
CYCLOHEXYLPROPANOL,PHENOLS,Procure PHENOLS,39448, 5442-00-2, 226-632-9,2-Cyclohexylpropan-1-ol,,PERFUMING,CC(CO)C1CCCCC1,12,2,4.554675142
BETA-METHYL-CYCLODODECANEETHANOL,PHENOLS,Procure PHENOLS,40470, 118562-73-5, 411-410-8,2-Cyclododecylpropan-1-ol,,PERFUMING,CC(CO)C1CCCCCCCCCCC1,,3,25.49472397
CITROL,PHENOLS,Procure PHENOLS,38992, 624-15-7, 210-831-2,"3,7-Dimethyl-2,6-octadien-1-ol",,PERFUMING,CC(C)=CCCC(C)=CCO,,1,63.37812908
DIPROPYLENE GLYCOL,PHENOLS,Procure PHENOLS,75742, 110-98-5, 203-821-4 / 246-770-3 ,"1,1'-Oxydipropan-2-ol; Oxydipropan-2-ol; Hydroxypropyloxypropanol",,"MASKING, PERFUMING, SOLVENT, VISCOSITY CONTROLLING",CCC(O)OCCCO.CC(O)COCC(C)O.CC(O)COCC(C)O,,0,98.99617929
"6,8-DIMETHYL-2-NONANOL",PHENOLS,Procure PHENOLS,39646, 70214-77-6, 274-447-7,"6,8-Dimethylnonan-2-ol",,PERFUMING,CC(C)CC(C)CCCC(C)O,56,2,16.92979829
TRIMETHYL-2-CYCLOHEXENOL,PHENOLS,Procure PHENOLS,41192, 470-99-5, 207-433-6,"3,5,5-Trimethylcyclohex-2-en-1-ol",,PERFUMING,CC1=CC(O)CC(C)(C)C1,,0,28.29650995
2-O-CRESYLETHANOL,PHENOLS,Procure PHENOLS,39394, 19819-98-8, 243-349-6,2-Methyl-benzeneethanol,,PERFUMING,Cc1ccccc1CCO,400,2,11.30465494
P-CRESOL,PHENOLS,Procure PHENOLS,35872, 106-44-5, 203-398-6,"Phenol, 4-methyl-",,"ANTIMICROBIAL, PERFUMING",Cc1ccc(O)cc1,400,3,59.13860056
PENTAMETHYLCYCLOHEXANEPROPANOL,PHENOLS,Procure PHENOLS,40570, 60241-53-4, 262-117-5,"alpha, beta,2,2,6-Pentamethylcyclohexanepropanol",,PERFUMING,CC(O)C(C)CC1C(C)CCCC1(C)C,,2,36.44885
TRIMETHYLTRICYCLODODECANOL,PHENOLS,Procure PHENOLS,41246, 472-97-9, 207-458-2,"4,4,8-Trimethyltricyclo[6.3.1.02,5]dodecan-1-ol",,PERFUMING,CC1(C)CC2C1CCC3(C)CCCC2(O)C3,,2,32.41314144
ISOBUTYL LINALOOL,PHENOLS,Procure PHENOLS,40343, 56105-46-5, 259-994-1,"3,7,9-Trimethyldeca-1,6-dien-3-ol",,PERFUMING,CC(C)CC(C)=CCCC(C)(O)C=C,,,73.2210304
METHYLOCTENOL,PHENOLS,Procure PHENOLS,40747, 24089-00-7, 246-015-8,3-Methyloct-1-en-3-ol,,PERFUMING,CCCCCC(C)(O)C=C,,,19.95711874
2-DECENOL,PHENOLS,Procure PHENOLS,39506, 22104-80-9, 244-784-4,2-Decenol,,PERFUMING,CCCCCCCC=CCO,265,2,56.3342753
"2,3,6-TRIMETHYLPHENOL",PHENOLS,Procure PHENOLS,41239, 2416-94-6, 219-330-3,"2,3,6-Trimethylphenol",,PERFUMING,Cc1ccc(C)c(O)c1C,,,90.0831396
4-METHYLPENTAN-2-OL,PHENOLS,Procure PHENOLS,40762, 108-11-2, 203-551-7,4-Methylpentan-2-ol,,PERFUMING,CC(C)CC(C)O,,3,21.55555371
DIMETHYLPHENYL CARBINOL,PHENOLS,Procure PHENOLS,39659, 617-94-7, 210-539-5,2-Phenylpropan-2-ol,,PERFUMING,CC(C)(O)c1ccccc1,,1,23.31987259
2-HEXENOL,PHENOLS,Procure PHENOLS,40189, 2305-21-7, 218-972-1,Hex-2-en-1-ol,,PERFUMING,CCCC=CCO,4,3,96.23523276
AMYL ALCOHOL,PHENOLS,Procure PHENOLS,39026, 71-41-0, 200-752-1,Pentan-1-ol,,PERFUMING,CCCCCO,,3,84.58574846
